Parker Hannifin GmbH                              # Parker Hannifin GmbH Electromechanical Division Europe
Four Seas Link                                    # Shenzhen Four Seas Global Link Network Technology
Jun Kai Hengye                                    # Shenzhen Jun Kai Hengye Technology
Jiangxi Jinggangshan Cking                        # Jiangxi Jinggangshan Cking Communication Technology
AtecoM GmbH modules                               # AtecoM GmbH advanced telecomunication modules
New Singularity Technical                         # New Singularity International Technical Development
Strong Rising Subsidiary                          # Shenzhen Strong Rising ElectronicsLtd DongGuan Subsidiary
ABB Genway Xiamen                                 # ABB Genway Xiamen Electrical Equipment
Inner Mongolia Yin                                # Inner Mongolia Yin Science Technology Development
Shin Satellite Public                             # Shin Satellite Public Company Limited
VDS Display srl                                   # VDS Video Display Systems srl
